Annotation Id, Left Context, Derge, Chone, Narthang, Peking, Right Context, Decision, Method
e888cdafd3fe49faa977e656a652c854,་དེ་བཞིན་རྨོངས། །ངན་,སྐྱུགས་,སྐྱུགས་,སྐྱུགས་,སྐྱུག་,གནས་ལ་བྱ་ཁྭ་བཞིན། །ང,སྐྱུགས་,OUTLIER/
7b68c5fffcdb4a73bdc80f164bd235d0,ས་པའི་མི་དེ་ཞུམ་ཞིང་,སྲོ་,སྲོ་,སྤྲོ་,སྲོ་,ཤི་ལ་དེའི་གདོང་དུ་བལ,སྲོ་,OUTLIER/
1a5bdcea45d54dae8393146f10f8796b,ག །སྔངས་ཤིང་སྐྲག་པར་,གྱུར་,གྱུར་,གྱུར་,འགྱུར་,ཀྱང་ནི། །ངན་སྐྱུགས་མ,གྱུར་,OUTLIER/
6032072242884be4b3f53b81f9a33b13,་ཆུབ་རབ་མཆོག་དཀོན་མ་,ཡིན,ཡིན,ཡིན,ཡི,། །དལ་རྙེད་ཤེས་རབ་ལྡ,ཡིན,OUTLIER/
4a8a1be86d4044ff8c97307f665dbdb2,གས་ཀྱི་བུའམ་རིགས་ཀྱི,བུ་མོ་,བུ་མོ་,བུ་མོ་,བུ་,གང་གཞན་ཞིག་གིས་བྱང་ཆ,བུ་མོ་,OUTLIER/
6175192bb0c6410284a9f50e023693ee,ྟ་སྟེ། དཔེར་ན་ནོར་བུ,རིན་པོ་ཆེ་,རིན་པོ་ཆེ་,རིན་པོ་,རིན་པོ་ཆེ་,རྡོ་རྗེ་ནི་རྡོ་རྗེ་ཉ,རིན་པོ་ཆེ་,OUTLIER/
8858713ae2ad4e38b54f68efa49d8b10,་ལ་ཞིག་གིས་མཆོད་རྟེན,གང་གཱའི་,གང་གཱའི་,གང་གཱའི་,གང་གའི་,ཀླུང་གི་བྱེ་མ་སྙེད་བ,གང་གཱའི་,SANSKRIT/OUTLIER/
1b5ae516ef254cd4b555a3b3a822f0bd,་སྡིག་པ་གྲངས་མེད་པར་,སྐྱེད་,སྐྱེད་,བསྐྱེད་,སྐྱེད་,དོ། །དེ་ཅིའི་ཕྱིར་ཞེ,སྐྱེད་,OUTLIER/
258429d97e10488a90b9dc5e794bb982,ཁམས་ཐམས་ཅད་ཀྱི་རྡུལ་,སྙེད་,སྙེད་,རྙེད་,སྙེད་,དག་ལ་བསྐལ་པ་གང་གཱའི་,སྙེད་,OUTLIER/
c1750fb12e0b4bbca66cdd1aed2d32df,ྷའི་གོས་རྣམས་སྦྱིན་པ,བྱིན་པ་,བྱིན་པ་,བྱིན་,བྱིན་པ་,བས་རིགས་ཀྱི་བུའམ་རིག,བྱིན་པ་,OUTLIER/
